series,model,year,forecast,model_params
incidence_age_standardized_rate,ETS,2025,175.1361477815734,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2026,166.35128075419763,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2027,158.17016781907571,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2028,150.55131500677396,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2029,143.45608008753453,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,ETS,2030,136.84847658088722,trend=add; damped=True; aic=58.87
incidence_age_standardized_rate,LSTM,2024,186.0279572611423,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2025,177.3489971621266,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2026,168.6756561458102,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2027,160.01661176746092,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2028,151.37261614736653,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2029,142.73216009325523,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
incidence_age_standardized_rate,LSTM,2030,134.0917982613267,transform=first_difference; seq_len=5; hidden_size=16; num_layers=2; relu_head=True; max_epochs=300; final_epochs=35; batch_size=32; patience=10; n_splits=10; lr=0.001; device=mps
