series,model,simulation,year,forecast
incidence_age_standardized_rate,Drift,21,2029,126.37830919665568
incidence_age_standardized_rate,Drift,21,2030,117.75717990362386
incidence_age_standardized_rate,Drift,22,2024,181.32894556765146
incidence_age_standardized_rate,Drift,22,2025,172.50902410404777
incidence_age_standardized_rate,Drift,22,2026,163.6891026404441
incidence_age_standardized_rate,Drift,22,2027,154.8691811768404
incidence_age_standardized_rate,Drift,22,2028,146.04925971323675
incidence_age_standardized_rate,Drift,22,2029,137.2293382496331
incidence_age_standardized_rate,Drift,22,2030,128.4094167860294
incidence_age_standardized_rate,Drift,23,2024,201.2442440738538
incidence_age_standardized_rate,Drift,23,2025,192.8138705072668
incidence_age_standardized_rate,Drift,23,2026,184.38349694067983
incidence_age_standardized_rate,Drift,23,2027,175.95312337409285
incidence_age_standardized_rate,Drift,23,2028,167.52274980750587
incidence_age_standardized_rate,Drift,23,2029,159.09237624091887
incidence_age_standardized_rate,Drift,23,2030,150.6620026743319
incidence_age_standardized_rate,Drift,24,2024,194.88965423572463
incidence_age_standardized_rate,Drift,24,2025,186.03643240810374
incidence_age_standardized_rate,Drift,24,2026,177.18321058048284
incidence_age_standardized_rate,Drift,24,2027,168.32998875286194
incidence_age_standardized_rate,Drift,24,2028,159.47676692524107
incidence_age_standardized_rate,Drift,24,2029,150.62354509762017
incidence_age_standardized_rate,Drift,24,2030,141.77032326999927
incidence_age_standardized_rate,Drift,25,2024,189.43449009057218
incidence_age_standardized_rate,Drift,25,2025,180.92823357057063
incidence_age_standardized_rate,Drift,25,2026,172.42197705056904
incidence_age_standardized_rate,Drift,25,2027,163.91572053056746
incidence_age_standardized_rate,Drift,25,2028,155.4094640105659
incidence_age_standardized_rate,Drift,25,2029,146.9032074905643
incidence_age_standardized_rate,Drift,25,2030,138.39695097056273
incidence_age_standardized_rate,Drift,26,2024,170.42396435393098
incidence_age_standardized_rate,Drift,26,2025,160.40328657542713
incidence_age_standardized_rate,Drift,26,2026,150.38260879692328
incidence_age_standardized_rate,Drift,26,2027,140.36193101841943
incidence_age_standardized_rate,Drift,26,2028,130.34125323991557
incidence_age_standardized_rate,Drift,26,2029,120.32057546141174
incidence_age_standardized_rate,Drift,26,2030,110.29989768290788
incidence_age_standardized_rate,Drift,27,2024,177.4066312341222
incidence_age_standardized_rate,Drift,27,2025,168.0530022742495
incidence_age_standardized_rate,Drift,27,2026,158.69937331437683
incidence_age_standardized_rate,Drift,27,2027,149.34574435450418
incidence_age_standardized_rate,Drift,27,2028,139.99211539463153
incidence_age_standardized_rate,Drift,27,2029,130.63848643475885
incidence_age_standardized_rate,Drift,27,2030,121.28485747488618
incidence_age_standardized_rate,Drift,28,2024,196.71554703239596
incidence_age_standardized_rate,Drift,28,2025,187.5772356450758
incidence_age_standardized_rate,Drift,28,2026,178.43892425775567
incidence_age_standardized_rate,Drift,28,2027,169.30061287043554
incidence_age_standardized_rate,Drift,28,2028,160.1623014831154
incidence_age_standardized_rate,Drift,28,2029,151.02399009579526
incidence_age_standardized_rate,Drift,28,2030,141.88567870847513
incidence_age_standardized_rate,Drift,29,2024,175.8498137858033
incidence_age_standardized_rate,Drift,29,2025,167.08730630780403
incidence_age_standardized_rate,Drift,29,2026,158.32479882980476
incidence_age_standardized_rate,Drift,29,2027,149.56229135180547
incidence_age_standardized_rate,Drift,29,2028,140.79978387380623
incidence_age_standardized_rate,Drift,29,2029,132.03727639580694
incidence_age_standardized_rate,Drift,29,2030,123.27476891780768
incidence_age_standardized_rate,Drift,30,2024,178.96989061749986
incidence_age_standardized_rate,Drift,30,2025,169.8627773030738
incidence_age_standardized_rate,Drift,30,2026,160.75566398864774
incidence_age_standardized_rate,Drift,30,2027,151.64855067422167
incidence_age_standardized_rate,Drift,30,2028,142.54143735979562
incidence_age_standardized_rate,Drift,30,2029,133.43432404536955
incidence_age_standardized_rate,Drift,30,2030,124.32721073094348
incidence_age_standardized_rate,Drift,31,2024,181.23546705441996
incidence_age_standardized_rate,Drift,31,2025,172.26893309110415
incidence_age_standardized_rate,Drift,31,2026,163.30239912778833
incidence_age_standardized_rate,Drift,31,2027,154.33586516447252
incidence_age_standardized_rate,Drift,31,2028,145.3693312011567
incidence_age_standardized_rate,Drift,31,2029,136.4027972378409
incidence_age_standardized_rate,Drift,31,2030,127.43626327452509
incidence_age_standardized_rate,Drift,32,2024,192.28728973937174
incidence_age_standardized_rate,Drift,32,2025,184.03479504005688
incidence_age_standardized_rate,Drift,32,2026,175.782300340742
incidence_age_standardized_rate,Drift,32,2027,167.52980564142712
incidence_age_standardized_rate,Drift,32,2028,159.27731094211225
incidence_age_standardized_rate,Drift,32,2029,151.02481624279739
incidence_age_standardized_rate,Drift,32,2030,142.77232154348252
incidence_age_standardized_rate,Drift,33,2024,198.79655892914886
incidence_age_standardized_rate,Drift,33,2025,190.6471313190611
incidence_age_standardized_rate,Drift,33,2026,182.49770370897332
incidence_age_standardized_rate,Drift,33,2027,174.34827609888555
incidence_age_standardized_rate,Drift,33,2028,166.19884848879778
incidence_age_standardized_rate,Drift,33,2029,158.04942087871
incidence_age_standardized_rate,Drift,33,2030,149.89999326862224
incidence_age_standardized_rate,Drift,34,2024,196.73159837371506
incidence_age_standardized_rate,Drift,34,2025,188.33946141932165
incidence_age_standardized_rate,Drift,34,2026,179.94732446492824
incidence_age_standardized_rate,Drift,34,2027,171.55518751053484
incidence_age_standardized_rate,Drift,34,2028,163.16305055614146
incidence_age_standardized_rate,Drift,34,2029,154.77091360174805
incidence_age_standardized_rate,Drift,34,2030,146.37877664735464
incidence_age_standardized_rate,Drift,35,2024,199.655908168542
incidence_age_standardized_rate,Drift,35,2025,191.3486365687918
incidence_age_standardized_rate,Drift,35,2026,183.0413649690416
incidence_age_standardized_rate,Drift,35,2027,174.73409336929143
incidence_age_standardized_rate,Drift,35,2028,166.42682176954122
incidence_age_standardized_rate,Drift,35,2029,158.11955016979104
incidence_age_standardized_rate,Drift,35,2030,149.81227857004086
incidence_age_standardized_rate,Drift,36,2024,183.0693447116594
incidence_age_standardized_rate,Drift,36,2025,174.18576791908194
incidence_age_standardized_rate,Drift,36,2026,165.3021911265045
