series,model,year,forecast,model_params
mortality_age_standardized_rate,ARIMA_LSTM,2024,38.639078315386605,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2025,36.422657459613795,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2026,34.17051722559134,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2027,31.909417353416472,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2028,29.646290733079365,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2029,27.383662371333013,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,ARIMA_LSTM,2030,25.1203260198031,"selected_d=2; adf_p=0.0000; kpss_p=0.1000; rule=adf_and_kpss; source=full_observed_period; order=(0, 2, 2); aic=76.03; residual_seq_len=5; hidden_size=12; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2024,38.89478209872655,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2025,36.90932098906476,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2026,34.25190349856433,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2027,32.2478548069074,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2028,30.236236430188363,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2029,28.179977813827897,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Causal_TCN,2030,26.125077842087748,"transform=first_difference; architecture=causal_tcn; seq_len=5; channels=12; kernel_size=2; dilations=(1,2); dropout=0.05; epochs=50; lr=0.01; device=mps"
mortality_age_standardized_rate,Drift,2024,38.03058858589558,linear_drift
mortality_age_standardized_rate,Drift,2025,35.45744045463364,linear_drift
mortality_age_standardized_rate,Drift,2026,32.88429232337171,linear_drift
mortality_age_standardized_rate,Drift,2027,30.311144192109772,linear_drift
mortality_age_standardized_rate,Drift,2028,27.73799606084784,linear_drift
mortality_age_standardized_rate,Drift,2029,25.164847929585907,linear_drift
mortality_age_standardized_rate,Drift,2030,22.591699798323972,linear_drift
mortality_age_standardized_rate,ETS,2024,38.546295885961165,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2025,36.597973697467985,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2026,34.75298290638121,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2027,33.00584321906511,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2028,31.351364995248645,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2029,29.784633832906458,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,ETS,2030,28.30099597069765,trend=add; damped=True; aic=-6.46
mortality_age_standardized_rate,LSTM,2024,40.35908779367938,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2025,40.011701355041914,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2026,38.710208025887546,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2027,36.802710577101834,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2028,34.48375700777702,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2029,31.97549758959969,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,LSTM,2030,29.469716854230168,transform=first_difference; seq_len=5; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2024,38.75713940327659,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2025,36.9434105939199,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2026,35.161111194543984,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2027,33.35751815503135,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2028,31.364751178674844,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2029,29.375482041292337,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Multistep_LSTM,2030,27.6839952058126,transform=first_difference; seq_len=5; horizon=7; hidden_size=16; epochs=50; lr=0.01; device=mps
mortality_age_standardized_rate,Naive,2024,40.60373671715751,last_observation
mortality_age_standardized_rate,Naive,2025,40.60373671715751,last_observation
mortality_age_standardized_rate,Naive,2026,40.60373671715751,last_observation
mortality_age_standardized_rate,Naive,2027,40.60373671715751,last_observation
mortality_age_standardized_rate,Naive,2028,40.60373671715751,last_observation
mortality_age_standardized_rate,Naive,2029,40.60373671715751,last_observation
